cluster_id,n_trees,density,bbox_area,hull_area,geom_area,geom_type_used,pca_lam1,pca_lam2,pca_ratio,nn_mean,nn_std,height_mean,height_std,height_min,height_max,OPIS,edge_dist_,dist_to_poly
88,2,0.10076447237382395,1.7782800000869017,0.0,19.848265493618058,buffer_union,1.8075620001076367,0.0,,1.9013479429644837,0.0,6.817,0.3460000000000001,6.471,7.163,Mejica,1518.790379512429,
89,2214,0.23058475331678385,97916.09207997275,21511.78792198755,9601.675601501476,buffer_union,19395.53134488234,143.03249402251413,135.60227329762824,1.3096776963624877,0.3297118553077954,12.978011743450768,5.18001996965658,0.224,30.148,Obvodna vegetacija,0.0,15.597382234763113
90,3346,0.23603592667342668,108990.47319599867,57607.3834080069,14175.80809479669,buffer_union,12705.714824739895,3005.729099281556,4.2271656576691745,1.3148943318812747,0.34101062221507233,12.621543036461448,4.482774443110112,0.109,23.346,Obvodna vegetacija,0.0,39.078291615301254
91,15,0.12716701694381563,87.21626099977392,32.099963999773635,117.95511415218016,buffer_union,70.79925366329324,0.3072772700551838,230.40836587287578,1.813665558805531,1.2298088635344369,8.324666666666667,1.756539577945481,4.306,10.661,Mejica,84.36826983318464,
92,4,0.12210743909250521,8.283357000005916,3.110678500014832,32.758036936387725,buffer_union,3.5149515005714482,0.42112241607323314,8.346626459229372,1.6312999682287737,0.8135202293981942,5.26725,0.38361333071205933,4.831,5.829,Posamezno drevo,,
93,555,0.20323997308243705,12060.122642000715,5312.227258000516,2730.762022758604,buffer_union,1136.675837467269,171.5086265149286,6.627514082321273,1.37391375300406,0.45244053039959486,9.760938738738739,5.002170968314363,0.079,20.308,Obvodna vegetacija,0.0,
94,53,0.1852142139571692,353.52990300066637,192.68598850051714,286.1551436449486,buffer_union,38.266741705424124,11.223415021803994,3.4095452793184977,1.3897624433186504,0.4372592946895287,8.305169811320756,3.21159650380299,1.911,14.733,Skupina dreves oziroma grmičevja,,
95,7,0.19044441125963338,8.706984000131078,4.975914000083435,36.75613242573383,buffer_union,1.9510147249173404,0.6362427989044602,3.066462564726504,1.2566077928281132,0.36235578120506684,4.667285714285714,1.6872722461574068,2.5060000000000002,8.138,Posamezno drevo,,
96,345,0.2212613789703693,3069.104597000966,1566.1320200026066,1559.2418415063817,buffer_union,311.94690315155515,54.250535961270586,5.750116521876462,1.3343007360785466,0.3500124687893728,10.141730434782609,4.698913228017308,0.11800000000000001,20.263,Skupina dreves oziroma grmičevja,55.7979123090596,
97,113,0.22725300380230737,573.4026530029395,373.61316649992733,497.24315238667344,buffer_union,104.07026331163422,11.415268678236947,9.116759863045777,1.3273918819628345,0.3046549979776667,16.40513274336283,7.220958160264516,3.6310000000000002,34.745,Skupina dreves oziroma grmičevja,7.707807929674295,
98,20,0.17674969188106626,178.02989999989563,84.47500500002869,113.15436981614583,buffer_union,76.74898013794778,2.35228360694944,32.62743485148023,1.3362484967329031,0.340591331360539,12.203950000000003,2.1507617598190647,7.016,14.681000000000001,Obvodna vegetacija,0.0,
99,162,0.2199524494292924,3137.9390800023616,892.8969680012998,736.5228276399703,buffer_union,495.1414158481465,10.526460433639826,47.03778815011772,1.291961717683382,0.3027609582105194,12.227462962962962,5.0160207854666226,1.69,22.076,Obvodna vegetacija,0.0,
100,477,0.231873106792944,7733.709660000655,4377.835918500542,2057.1596533872607,buffer_union,703.8928659556065,372.534988051794,1.8894678044515467,1.3052147852502074,0.3230722793612105,12.776138364779873,5.66706235334536,0.336,27.055,Obvodna vegetacija,0.0,11.500276821542762
101,12,0.14366610052496023,134.68883400079682,38.61914900011794,83.52701128625083,buffer_union,51.0373031103714,0.8666231774894486,58.89215109411586,1.5370427537688593,0.3903834522412859,13.786499999999998,2.161282817371819,9.997,16.957,Posamezno drevo,7.479732998706762,4.128346548028525
102,1,,0.0,0.0,0.0,buffer_union,,,,,,9.897,0.0,9.897,9.897,Obvodna vegetacija,0.0,
103,7,0.16635244326678572,13.952263000036305,7.700468500014688,42.07933386811659,buffer_union,3.0974155226795856,0.8457926678373593,3.662145157393584,1.3479954210518987,0.6653978846076789,5.600999999999999,1.2637274796636904,3.681,7.211,Posamezno drevo,2756.1983627051814,
104,5,0.12282645429558083,14.65185000011244,6.339311500172608,40.707842855803214,buffer_union,4.26557218947043,0.7882777105933612,5.411255617337703,1.7691356256892525,0.35871707238110684,14.904,0.6889304754472689,13.696,15.715,Posamezno drevo,,
105,102,0.24942937237423807,400.2559339995859,282.6834269999899,408.9333947686063,buffer_union,91.79073576688674,7.428358566725622,12.356799277036995,1.2286996101374483,0.23657891234115233,14.875676470588237,5.863571221854485,0.317,21.815,Mejica,1553.4228618812706,
106,847,0.2521793274125055,16759.984054002074,3338.164317999934,3358.720989109901,buffer_union,2627.0939049163007,26.498834884466874,99.13997790356642,1.289060345519132,0.2901685002764405,13.15704722550177,6.07585845418298,0.148,25.271,Mejica,24.453189935285543,
107,9,0.18573450374618905,17.974367999886994,11.575272499951366,48.45626320620928,buffer_union,2.7147524910115317,1.4680930645080916,1.8491692091203724,1.1856142360043205,0.2993949362199892,16.47522222222222,0.5728990172365613,15.097,16.955000000000002,Posamezno drevo,7.788190542549985,
108,5,0.14684764110696144,8.143589999970773,4.276028999976197,34.048895592119734,buffer_union,2.3478429922803445,0.7199264077071966,3.2612263797319163,1.4295388339221744,0.24994863928584912,4.387600000000001,2.1989281570801715,1.087,7.476,Posamezno drevo,21.900290404894545,
109,111,0.20576097999220128,833.4538680017462,458.3432179999078,539.4608832258045,buffer_union,122.09006135157478,15.155527707609856,8.055810639326747,1.344313380909599,0.37650747170387044,11.347963963963965,4.173615920824203,1.853,16.416,Mejica,1825.156021334853,
110,220,0.22897764023189693,1167.1974929975258,816.3679824983706,960.792502609404,buffer_union,129.5231589119162,41.84224514485672,3.0955116883310283,1.3555399728669701,0.3252633410777304,11.708331818181817,5.598584202837387,0.112,24.437,Skupina dreves oziroma grmičevja,1752.8355057254164,
111,117,0.2684385719450092,318.69091800029815,285.84561850031724,435.8539056152033,buffer_union,134.33511129376592,5.064520543000353,26.524744080548704,1.2264710885836487,0.22167168412261565,17.728598290598292,4.711996517455197,2.212,24.153000000000002,Mejica,1463.207055033357,
112,1308,0.24429195310327262,25011.74827199901,5330.186650002376,5354.249222638343,buffer_union,5060.616506845004,35.80506445785238,141.33800856027125,1.303207889576918,0.3269168993487791,12.120817278287461,5.164269305944376,0.1,25.237000000000002,Mejica,1378.2317785366818,
113,306,0.21079419334706395,5766.874680008056,1529.1301914971045,1451.652890154254,buffer_union,1554.6010091349917,8.541371882316128,182.00835071396483,1.3482930207988673,0.35250501595374706,10.371898692810458,4.546217580266311,0.16,20.449,Mejica,1916.8845521999444,
114,1176,0.21192299005652912,67450.63743597835,37590.8231359958,5549.185577677577,buffer_union,16910.29325027921,680.3143532739571,24.856587500910145,1.360746161283673,0.3792589749744904,13.261696428571428,5.87992549574954,0.122,29.786,Mejica,5.209842262555787,
115,157,0.18745044906591835,4980.258188995422,744.5267794996985,837.5546752880266,buffer_union,757.4392792292272,5.8179908826734845,130.18914854008304,1.395341436939975,0.4066714669163833,7.630292993630574,1.5431119284448789,3.77,11.777000000000001,Mejica,,
117,5,0.12704153698735918,47.053516000206294,4.023246000025537,39.35720645836887,buffer_union,20.506016893468,0.1031343065371022,198.8282811218693,1.192914058316069,0.1560937202781362,6.021,0.5381115126068203,5.16,6.684,Drevesa v vrsti,,
118,2,0.12075589052395794,0.09006800003827015,0.0,16.562339040538983,buffer_union,0.5160325000204331,0.0,,1.015905999608658,0.0,5.859,0.3330000000000002,5.526,6.192,Drevesa v vrsti,,
119,2,0.09999522181700564,1.5198749999690335,0.0,20.00095568226312,buffer_union,1.8913969999385274,0.0,,1.9449406160284315,0.0,4.4615,1.6855,2.7760000000000002,6.147,Drevesa v vrsti,,
120,1,,0.0,0.0,0.0,buffer_union,,,,,,6.715,0.0,6.715,6.715,Drevesa v vrsti,,
121,1,,0.0,0.0,0.0,buffer_union,,,,,,5.562,0.0,5.562,5.562,Drevesa v vrsti,,
122,2,0.10913287518033515,0.20930799999136523,0.0,18.326283410889037,buffer_union,1.0964200000233086,-3.469446951953614e-18,,1.4808240949034486,0.0,4.221500000000001,0.6045000000000003,3.617,4.8260000000000005,Drevesa v vrsti,,
123,5,0.11759337742538037,59.90662800031298,13.67703000021717,42.51940125771778,buffer_union,25.577817969396733,0.6504995306719303,39.320271212150224,1.5518409088833416,0.21605183071326461,3.8722000000000003,1.0103623904322645,2.657,5.224,Posamezno drevo,,0.27901321511619787
124,3,0.09027393107978704,32.140168000459795,0.5789994999439116,33.23218524014981,buffer_union,21.386354188215147,0.005225145248926921,4092.9683615220506,3.67076473013722,2.1585797713824917,4.948333333333333,0.3741526723440878,4.573,5.4590000000000005,Drevesa v vrsti,,
125,6,0.08783835422795847,217.47142900221172,44.47302700034832,68.30729073576191,buffer_union,86.55264502566583,1.8313686412976384,47.26118110460705,3.915098874718281,1.8129546697655283,4.6145000000000005,0.842473293345255,3.418,5.801,Drevesa v vrsti,,
126,3,0.12143547802885489,3.711855000109073,1.3518525000587915,24.704477214534908,buffer_union,1.4390780385979345,0.4233046281251265,3.3996274620757303,1.5795557460259442,0.38478129539392136,5.808333333333334,0.17932527862952174,5.577,6.014,Posamezno drevo,,
127,589,0.23800657762330507,7000.854468002787,2416.625406502662,2474.7215219077475,buffer_union,1227.2262732369804,34.313372596588124,35.76524778444562,1.3284552698705792,0.32316633566968345,14.683770797962648,5.432471943108558,1.9140000000000001,26.702,Skupina dreves oziroma grmičevja,91.04132517608862,
128,7,0.14608416826392703,19.37328899969561,11.0979509998249,47.91758123545089,buffer_union,3.15944375045715,1.766365011395929,1.7886697993187117,1.4485464821166594,0.3497818960420999,5.633428571428572,0.6265465111324496,4.548,6.699,Posamezno drevo,79.83805138494026,
129,176,0.23765217356368348,860.7357000004743,599.1938490000326,740.5781203715244,buffer_union,91.1125660524817,34.197730003470696,2.6642869583225193,1.3027215930440013,0.28338468053453214,13.088073863636366,4.106116615406447,1.493,20.369,Skupina dreves oziroma grmičevja,,
177,12087,0.24791635871935383,385930.6321079927,247168.52712252527,48754.346274029944,buffer_union,48085.537081358576,8976.473182392161,5.356840721774891,1.3215525680169555,0.3119046711337877,14.478684619839497,7.377125802851145,0.039,36.115,Obvodna vegetacija,0.0,
130,106,0.1787835791059223,4318.471080001462,385.3654330000122,592.8956145194919,buffer_union,908.304210249461,1.4089282374044103,644.6774123306515,1.3424524433091434,0.4245954053246384,9.209075471698114,4.348333067510139,1.576,19.490000000000002,Mejica,24.993608243228856,
131,1304,0.2297291469247582,16073.811053991021,10989.384006995304,5676.249694284945,buffer_union,3364.155493766508,168.50973508408586,19.96416107406379,1.343580853445355,0.34905139448462147,13.502649539877302,7.632798716161819,0.08600000000000001,33.441,Skupina dreves oziroma grmičevja,19.97587753211181,
132,259,0.2258964390868696,2748.422900998885,983.7048519997606,1146.5430842865135,buffer_union,398.4951376476233,18.929948923858618,21.051041355181606,1.341648019725651,0.3456149022766081,11.63007335907336,6.373599902761953,1.471,23.862000000000002,Mejica,80.16608180610166,
133,79,0.18772389077434298,1945.8255990019732,238.39975700111714,420.83082592275605,buffer_union,406.33491675018627,1.2358766799540746,328.7827364501171,1.3942215086194947,0.3715553080216693,16.360367088607592,5.174526552493584,4.349,24.285,Mejica,20.77103751172377,
134,193,0.22706096330625566,6793.673257001231,600.5028814994332,849.9919897709811,buffer_union,916.8113187571469,2.693532531581468,340.37506805936164,1.2662178777029947,0.3150237118529692,14.110512953367873,5.401419700257481,0.8130000000000001,22.511,Mejica,41.578318311041485,
135,11,0.206791439204505,19.401876000383538,13.960051500171467,53.193691394166585,buffer_union,2.2695517239956335,1.9565033669420882,1.1600039960794055,1.3252161982687587,0.16369464554547478,19.045818181818184,1.0338687113926477,15.96,20.198,Posamezno drevo,380.305277022899,
136,149,0.2102514935174196,3089.661199999071,710.4161054996453,708.6751085915838,buffer_union,312.97422774659367,15.505166728601068,20.185157194683796,1.3730238573397355,0.30296583842848945,16.385422818791948,7.828189027616587,0.318,28.86,Mejica,225.74022539929769,
137,1033,0.2699316315382699,14199.610463996583,3785.747089495423,3826.894958968694,buffer_union,2279.948460034423,41.59421604429161,54.814074572450636,1.3034714391549185,0.28427719887041275,15.271475314617618,5.057008002532444,0.15,24.315,Skupina dreves oziroma grmičevja,54.38647335569536,
138,17,0.14767636330096015,145.0440000006929,51.04045150022745,115.11659428770257,buffer_union,28.869617483412533,1.9005745533835716,15.189942131981235,1.590589878024418,0.3570579355100879,11.667588235294119,1.7723949586007506,8.399000000000001,13.864,Mejica,254.02006291795442,
