cluster_id,n_trees,density,bbox_area,hull_area,geom_area,geom_type_used,pca_lam1,pca_lam2,pca_ratio,nn_mean,nn_std,height_mean,height_std,height_min,height_max,OPIS,edge_dist_,dominant_count_x,matched_points_x,dominant_fraction_x,n_labels_touched_x,dominant_count_y,matched_points_y,dominant_fraction_y,n_labels_touched_y,dist_to_poly
17,2,0.07970544716691812,28.01020279284282,0.0,25.092387924399016,buffer_union,28.027651138152585,1.7763568394002505e-15,1.577816490273178e+16,7.48700890050928,0.0,18.427750000000003,2.6472500000000014,15.7805,21.075000000000003,Posamezno drevo,54.17343763302399,,,,,,,,,0.0
18,42,0.08230601171916872,2845.4866463481817,1532.3277206703551,510.29079313556844,buffer_union,197.71262347748234,135.17221687096873,1.4626720494361114,4.208957935530687,1.5387920896317404,14.37082380952381,4.179035037559197,4.4632,21.734800000000003,Skupina dreves oziroma grmičevja,33.05633919588231,,,,,39.0,39.0,1.0,1.0,
19,36,0.08336318665770263,1601.740282911336,877.165482568807,431.8452957876899,buffer_union,264.16715702176174,33.57697330643912,7.867509516442981,3.8032583702269016,0.9777414220696315,18.218691666666665,4.002509784801352,9.318900000000001,24.9996,Skupina dreves oziroma grmičevja,179.20585495991284,,,,,32.0,32.0,1.0,1.0,
20,12,0.08437323479567764,2314.770627807461,587.5351011389912,142.22519770706657,buffer_union,422.3525927231617,20.904117715268626,20.204277380942518,6.7643066205703235,3.2466299157214102,5.2454583333333344,1.4739357049853141,2.3864,7.453799999999999,Mejica,1783.1539083689283,,,,,11.0,11.0,1.0,1.0,
21,1,,0.0,0.0,0.0,buffer_union,,,,,,10.9677,0.0,10.9677,10.9677,Posamezno drevo,94.2292125078853,,,,,1.0,1.0,1.0,1.0,
22,140,0.08180044506614806,34494.858916530735,8466.898088906179,1711.4821305286148,buffer_union,5022.269252779079,106.24361649697198,47.27125655518529,4.226262279487266,1.3533397437957666,15.070493571428571,4.646039989207564,3.7723999999999998,23.940400000000004,Skupina dreves oziroma grmičevja,1609.9677224172863,,,,,86.0,117.0,0.7350427350427351,2.0,
23,1,,0.0,0.0,0.0,buffer_union,,,,,,8.7004,0.0,8.7004,8.7004,Posamezno drevo,53.72133955842126,,,,,1.0,1.0,1.0,1.0,
24,405,0.08224648587487894,107528.93562672101,24093.962764747914,4924.222545096017,buffer_union,16389.041633619232,209.51722749350483,78.22288329071796,4.128637096454172,1.1958620879146826,17.338601728395062,5.018122818578945,3.367,30.690400000000004,Obvodna vegetacija,0.0,,,,,348.0,363.0,0.9586776859504132,2.0,
25,1,,0.0,0.0,0.0,buffer_union,,,,,,4.3228,0.0,4.3228,4.3228,Obvodna vegetacija,12.487878643052312,,,,,,,,,0.5354546479339022
26,126,0.08210240863293754,33160.66887165432,8503.873099037248,1534.6687399065147,buffer_union,5872.698571118013,101.058524411897,58.11185751319615,4.2263594656084695,1.2201370108447902,12.430015079365077,4.529102762786879,3.4757000000000007,20.145500000000002,Obvodna vegetacija,0.0,,,,,105.0,105.0,1.0,1.0,
