X,Y,Z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,synthetic,key_point,withheld,scan_angle_rank,user_data,point_source_id,cluster_id,x,y
585012.666,165542.449,5.865,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585012.666,165542.449
585000.455,165541.412,7.448,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585000.455,165541.412
585004.563,165541.467,11.488,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585004.563,165541.467
585007.561,165541.498,11.523,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585007.561,165541.498
585009.52,165541.538,7.162,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585009.52,165541.538
585014.741,165541.136,4.2010000000000005,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585014.741,165541.136
585001.522,165540.432,10.035,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585001.522,165540.432
585004.545,165540.41,11.052,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585004.545,165540.41
585013.383,165540.544,5.039,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585013.383,165540.544
585000.505,165539.44,6.048,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585000.505,165539.44
